	Type	Sex	Time
cell_1	0	0	0
cell_2	0	0	0
cell_3	0	0	0
cell_4	0	0	1
cell_5	0	0	1
cell_6	0	0	1
cell_7	0	0	2
cell_8	0	0	2
cell_9	0	0	2
cell_10	0	0	2
cell_11	0	0	2
cell_12	0	0	2
cell_15	0	0	3
cell_16	0	0	3
cell_17	0	0	3
cell_18	0	0	3
cell_19	0	0	3
cell_20	0	0	3
cell_21	0	0	3
cell_22	0	0	3
cell_23	0	0	3
cell_24	0	0	3
cell_25	0	0	3
cell_26	0	0	3
cell_27	0	0	4
cell_28	0	0	4
cell_29	0	0	4
cell_30	0	0	4
cell_31	0	0	4
cell_32	0	0	4
cell_33	0	0	4
cell_34	0	0	4
cell_35	0	0	4
cell_36	0	0	4
cell_37	0	0	4
cell_38	0	0	4
cell_39	0	0	4
cell_40	0	0	4
cell_41	0	0	4
cell_42	0	0	4
cell_43	0	0	4
cell_44	0	0	4
cell_45	0	0	4
cell_46	0	0	4
cell_47	0	0	5
cell_48	0	0	5
cell_49	0	0	5
cell_50	0	0	5
cell_51	0	0	5
cell_52	0	0	5
cell_53	0	0	5
cell_54	0	0	5
cell_55	0	0	5
cell_56	0	0	5
cell_57	0	0	5
cell_58	0	0	5
cell_59	0	0	5
cell_60	0	0	5
cell_61	0	0	5
cell_62	0	0	5
cell_63	0	0	6
cell_64	0	0	6
cell_65	0	0	6
cell_66	0	0	6
cell_67	0	0	6
cell_68	0	0	6
cell_69	0	0	6
cell_70	0	0	6
cell_71	0	0	6
cell_72	0	0	6
cell_73	0	0	6
cell_74	0	0	6
cell_75	0	0	6
cell_76	0	0	6
cell_77	0	0	6
cell_78	0	0	6
cell_79	0	0	6
cell_80	0	0	6
cell_81	0	0	6
cell_82	0	0	6
cell_83	0	0	6
cell_84	0	0	6
cell_85	0	0	6
cell_86	0	0	6
cell_87	0	0	6
cell_88	0	0	6
cell_89	0	0	6
cell_90	0	0	6
cell_91	0	0	6
cell_92	0	0	6
cell_125	1	2	7
cell_126	1	2	7
cell_127	1	2	7
cell_128	1	2	7
cell_129	1	2	7
cell_130	1	2	7
cell_131	1	2	8
cell_132	1	2	8
cell_133	1	2	8
cell_134	1	2	8
cell_135	1	2	8
cell_136	1	2	8
cell_137	1	2	8
cell_138	1	2	8
cell_139	1	2	8
cell_140	1	2	8
cell_141	1	2	8
cell_142	1	2	8
cell_143	1	2	8
cell_144	1	2	8
cell_145	1	2	8
cell_146	1	2	8
cell_147	1	2	8
cell_148	1	2	8
cell_149	1	2	8
cell_150	1	2	8
cell_151	1	2	8
cell_152	1	2	8
cell_153	1	2	8
cell_154	1	2	8
cell_155	1	2	8
cell_156	1	2	8
cell_157	1	2	8
cell_158	1	2	8
cell_159	1	2	8
cell_160	1	2	8
cell_161	1	2	8
cell_162	1	2	8
cell_163	1	2	8
cell_164	1	2	8
cell_165	1	2	8
cell_166	1	2	8
cell_167	1	2	8
cell_168	1	2	8
cell_169	1	2	8
cell_170	1	2	10
cell_171	1	2	10
cell_172	1	2	10
cell_173	1	2	10
cell_174	1	2	10
cell_175	1	2	10
cell_176	1	2	10
cell_177	1	2	10
cell_178	1	2	10
cell_179	1	2	10
cell_180	1	2	10
cell_181	1	2	10
cell_182	1	2	10
cell_183	1	2	10
cell_184	1	2	10
cell_185	1	2	10
cell_186	1	2	10
cell_187	1	2	10
cell_188	1	2	10
cell_189	1	2	10
cell_190	1	2	11
cell_191	1	2	11
cell_192	1	2	11
cell_193	1	2	11
cell_194	1	2	11
cell_195	1	2	11
cell_196	1	2	11
cell_197	1	2	11
cell_198	1	2	11
cell_199	1	2	11
cell_200	1	2	11
cell_201	1	2	11
cell_202	1	2	11
cell_203	1	2	11
cell_204	1	2	11
cell_205	1	2	11
cell_206	1	2	11
cell_207	1	2	11
cell_208	1	2	11
cell_209	1	2	11
cell_210	1	2	11
cell_211	1	2	11
cell_212	1	2	11
cell_213	1	2	11
cell_214	1	2	11
cell_215	1	2	11
cell_216	1	2	11
cell_217	1	2	13
cell_218	1	2	13
cell_219	1	2	13
cell_220	1	2	13
cell_221	1	2	13
cell_222	1	2	13
cell_223	1	2	13
cell_224	1	2	13
cell_225	1	2	13
cell_226	1	2	13
cell_227	1	2	13
cell_228	1	2	13
cell_229	1	2	13
cell_230	1	2	13
cell_231	1	2	13
cell_232	1	2	13
cell_233	1	2	13
cell_234	1	2	13
cell_235	1	2	13
cell_236	1	2	13
cell_237	1	2	13
cell_238	1	2	13
cell_239	1	2	13
cell_240	1	2	13
cell_241	1	2	13
cell_242	1	2	13
cell_243	1	2	13
cell_244	1	2	13
cell_245	1	2	13
cell_246	1	2	13
cell_247	1	2	13
cell_248	1	2	13
cell_249	1	2	13
cell_250	1	2	13
cell_251	1	2	13
cell_252	1	2	13
cell_253	1	2	13
cell_254	1	2	13
cell_255	1	2	13
cell_256	1	2	13
cell_257	1	2	13
cell_258	1	2	13
cell_259	1	2	13
cell_260	1	2	13
cell_261	1	2	13
cell_262	1	2	13
cell_263	1	2	13
cell_264	1	2	13
cell_265	1	2	13
cell_266	1	2	13
cell_267	1	2	13
cell_268	1	2	13
cell_269	1	2	13
cell_270	1	2	13
cell_271	1	2	13
cell_272	1	2	13
cell_273	1	2	13
cell_274	1	1	7
cell_275	1	1	7
cell_276	1	1	7
cell_277	1	1	7
cell_278	1	1	7
cell_279	1	1	7
cell_280	1	1	7
cell_281	1	1	7
cell_282	1	1	7
cell_283	1	1	7
cell_284	1	1	7
cell_285	1	1	7
cell_286	1	1	9
cell_287	1	1	9
cell_288	1	1	9
cell_289	1	1	9
cell_290	1	1	9
cell_291	1	1	9
cell_292	1	1	9
cell_293	1	1	9
cell_294	1	1	9
cell_295	1	1	9
cell_296	1	1	9
cell_297	1	1	9
cell_298	1	1	9
cell_299	1	1	9
cell_300	1	1	9
cell_301	1	1	9
cell_302	1	1	9
cell_303	1	1	9
cell_304	1	1	10
cell_305	1	1	10
cell_306	1	1	10
cell_307	1	1	10
cell_308	1	1	10
cell_309	1	1	10
cell_310	1	1	10
cell_311	1	1	10
cell_312	1	1	10
cell_313	1	1	10
cell_314	1	1	10
cell_315	1	1	10
cell_316	1	1	10
cell_317	1	1	11
cell_318	1	1	11
cell_319	1	1	11
cell_320	1	1	11
cell_321	1	1	11
cell_322	1	1	11
cell_323	1	1	11
cell_324	1	1	11
cell_325	1	1	11
cell_326	1	1	11
cell_327	1	1	12
cell_328	1	1	12
cell_329	1	1	12
cell_330	1	1	12
cell_331	1	1	12
cell_332	1	1	12
cell_333	1	1	12
cell_334	1	1	12
cell_335	1	1	12
cell_336	1	1	12
cell_337	1	1	12
cell_338	1	1	12
cell_339	1	1	12
cell_340	1	1	12
cell_341	1	1	12
cell_342	1	1	12
cell_343	1	1	12
cell_344	1	1	12
cell_345	1	1	12
cell_346	1	1	12
cell_347	1	1	12
cell_348	1	1	12
cell_349	1	1	12
cell_350	1	1	12
cell_351	1	1	12
cell_352	1	1	12
cell_353	1	1	12
cell_354	1	1	12
cell_355	1	1	12
cell_356	1	1	12
